grosssize,grosssizeadjusted,groundfloorsize,livingsize,baths_full,bed,rooms_total,prkgSize,assdImprValue,assdTtlValue,mktTtlValue,taxAmt,baths_total_calculated,property_type,propsubtype,proptype,heatingtype,coolingtype,wallType,saleRecDate,condition,constructiontype,frameType,prkgType,bldgType,saleAmt
2110.0,2505.0,5320.0,2505.0,1.0,2.0,7.0,1200.0,37968.0,70265.0,1011000.0,6964.96,3.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,CENTRAL,BRICK VENEER,2006-02-13,AVERAGE,FRAME,WOOD,"Garage, Detached",COMMERCIAL,501930.0
869.0,869.0,869.0,869.0,1.0,2.0,5.0,495.44229852169764,22261.0,22261.0,320300.0,2067.24,2.0,CONDOMINIUM,RESIDENTIAL,CONDOMINIUM,FORCED AIR,None,STUCCO,2007-07-03,AVERAGE,FRAME,WOOD,"Garage, Attached",MISCELLANEOUS,179350.0
5695.0,3245.0,1861.0,3245.0,2.0,5.0,11.0,808.0,41651.0,78333.0,1127100.0,7347.06,4.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,CENTRAL,BRICK VENEER,2022-07-25,GOOD,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,1900000.0
3298.0,1754.0,1064.0,1754.0,3.0,4.0,9.0,480.0,3905.0,39052.0,561900.0,3626.52,3.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,CENTRAL,BRICK VENEER,2022-05-02,AVERAGE,MASONRY,MASONRY,"Garage, Attached",CONVENTIONAL HOUSE,1100000.0
5032.0,2240.0,2240.0,2240.0,3.0,4.0,10.0,552.0,44675.0,92943.0,1337300.0,8631.06,4.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,CENTRAL,BRICK VENEER,2005-07-26,VERY GOOD,MASONRY,MASONRY,"Garage, Attached",CONVENTIONAL HOUSE,798000.0
925.0,925.0,925.0,925.0,1.0,2.0,6.0,495.44229852169764,11968.0,35890.0,516400.0,3332.88,1.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,HOT WATER,None,MARBLECRETE,2021-09-07,AVERAGE,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,597500.0
3782.0,1798.0,1798.0,1798.0,1.0,5.0,11.0,462.0,23588.0,60937.0,876800.0,5658.86,3.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,CENTRAL,BRICK VENEER,2006-02-08,AVERAGE,MASONRY,MASONRY,"Garage, Attached",CONVENTIONAL HOUSE,439000.0
3924.0,2272.0,1208.0,2272.0,1.0,4.0,8.0,462.0,29795.0,66929.0,963000.0,6215.3,4.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,CENTRAL,MARBLECRETE,2005-04-29,GOOD,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,575000.0
3992.0,2430.0,1415.0,2430.0,1.0,4.0,10.0,462.0,31108.0,64892.0,933700.0,6026.14,3.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,None,BRICK VENEER,2005-06-09,GOOD,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,520000.0
3839.0,2449.0,1452.0,2449.0,3.0,4.0,9.0,462.0,22615.0,57094.0,821500.0,5301.98,4.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,EVAPORATIVE,BRICK VENEER,2005-07-21,AVERAGE,MASONRY,MASONRY,"Garage, Attached",CONVENTIONAL HOUSE,523000.0
