grosssize,grosssizeadjusted,groundfloorsize,livingsize,baths_full,bed,rooms_total,prkgSize,assdImprValue,assdTtlValue,mktTtlValue,taxAmt,baths_total_calculated,saleAmt,property_type,propsubtype,proptype,heatingtype,coolingtype,wallType,saleRecDate,condition,constructiontype,frameType,prkgType,bldgType,saleAmtCategory
0.005566625,0.014597437,0.030870619,0.014597437,0.001930502,0.001934236,0.006217617,0.022041947,0.007420717,0.006242514,0.012930159,0.00705544,0.005791506,0.004809903,0.042015133,0,0.04276895,0.055104278,0.001111651,0.205161964,0.014380728,0,0.029006217,0.117893133,0.442126971,1,Standard Price
0.002146733,0.004708656,0.00500369,0.004708656,0.001930502,0.001934236,0.004145078,0.008101351,0.004327209,0.001956801,0.004085095,0.002069872,0.003861004,0.001715596,0,0,0,0.055104278,0,0.191555693,0.011709894,0,0.029006217,0.117893133,0.82536183,0,Economical Price
0.015446005,0.019070358,0.010768685,0.019070358,0.003861004,0.007736944,0.010362694,0.014285714,0.008146087,0.006962811,0.014416929,0.007444394,0.007722008,0.018220711,0.042015133,0,0.04276895,0.055104278,0.001111651,0.205161964,0.020137759,0.135516671,0.029006217,0.117893133,0.82536183,0.086620281,Premium Price
0.008840461,0.010058027,0.00613693,0.010058027,0.005791506,0.005802708,0.008290155,0.007795805,0.000711978,0.003455872,0.007179011,0.00365712,0.005791506,0.010546813,0.042015133,0,0.04276895,0.055104278,0.001111651,0.205161964,0.023065529,0,0.051450964,0.121542658,0.82536183,0.086620281,Premium Price
0.01361894,0.012995648,0.012971239,0.012995648,0.005791506,0.005802708,0.009326425,0.009220419,0.008741667,0.008267166,0.017108738,0.008751424,0.007722008,0.007649917,0.042015133,0,0.04276895,0.055104278,0.001111651,0.205161964,0.017193429,0.436773031,0.051450964,0.121542658,0.82536183,0.086620281,Premium Price
0.002301055,0.005047147,0.005329134,0.005047147,0.001930502,0.001934236,0.005181347,0.008101351,0.002299993,0.003173574,0.00659634,0.003358213,0.001930502,0.005726646,0.042015133,0,0.04276895,0.104258282,0,0,0.023503297,0,0.029006217,0.117893133,0.82536183,0.086620281,Standard Price
0.010174246,0.010323985,0.010402562,0.010323985,0.001930502,0.007736944,0.010362694,0.007439652,0.004588563,0.005409726,0.011211602,0.005725913,0.005791506,0.004206255,0.042015133,0,0.04276895,0.055104278,0.001111651,0.205161964,0.013782886,0,0.051450964,0.121542658,0.82536183,0.086620281,Budget-Friendly Price
0.010565564,0.013189072,0.006973784,0.013189072,0.001930502,0.005802708,0.007253886,0.007439652,0.005811037,0.005944682,0.012315474,0.006292334,0.007722008,0.005510818,0.042015133,0,0.04276895,0.055104278,0.001111651,0,0.013049023,0.135516671,0.029006217,0.117893133,0.82536183,0.086620281,Standard Price
0.010752955,0.014144101,0.008176762,0.014144101,0.001930502,0.005802708,0.009326425,0.007439652,0.006069634,0.005762822,0.01194026,0.006099781,0.005791506,0.004983237,0.042015133,0,0.04276895,0.055104278,0,0.205161964,0.014552396,0.135516671,0.029006217,0.117893133,0.82536183,0.086620281,Standard Price
0.010331324,0.014258946,0.008391787,0.014258946,0.005791506,0.005802708,0.008290155,0.007439652,0.004396929,0.00506663,0.010503433,0.005362632,0.007722008,0.005012014,0.042015133,0,0.04276895,0.055104278,0.010122111,0.205161964,0.0126791,0,0.051450964,0.121542658,0.82536183,0.086620281,Standard Price
0.005401279,0.005029014,0.005311699,0.005029014,0.001930502,0.003868472,0.006217617,0.003521963,0.003798789,0.004139654,0.008590225,0.003724162,0.003861004,0.003736229,0.042015133,0,0.04276895,0.055104278,0,0,0.01163363,0,0.029006217,0.117893133,0.82536183,0.086620281,Budget-Friendly Price
0.008473946,0.008691973,0.00883346,0.008691973,0.005791506,0.003868472,0.007253886,0.007004353,0.005841171,0.005549447,0.011499735,0.00587384,0.005791506,0.004863333,0.042015133,0,0.04276895,0.055104278,0.001111651,0.205161964,0.014433644,0.135516671,0.029006217,0.117893133,0.82536183,0.086620281,Standard Price
0.00750392,0.013062137,0.013035165,0.013062137,0.003861004,0.005802708,0.007253886,0.009418283,0.007396098,0.006383931,0.013222134,0.006757409,0.005791506,0.008628339,0.042015133,0,0.04276895,0.055104278,0.001111651,0.205161964,0.014553391,0.135516671,0.029006217,0.117893133,0.82536183,0.086620281,Premium Price
0.006313434,0.006866538,0.003196318,0.006866538,0.001930502,0.003868472,0.006217617,0.009517214,0.005533139,0.00447284,0.009277904,0.005324928,0.005791506,0.004503619,0.042015133,0,0.04276895,0.055104278,0.001111651,0.205161964,0.012920235,0.135516671,0.051450964,0.121542658,0.82536183,0.086620281,Budget-Friendly Price
0.0062969,0.005047147,0.005329134,0.005047147,0.001930502,0.003868472,0.006217617,0.008686189,0.000727931,0.00352783,0.00732756,0.003733323,0.003861004,0.003544391,0.042015133,0,0.04276895,0.055104278,0.001111651,0.205161964,0.013127387,0,0.051450964,0.121542658,0.82536183,0.086620281,Budget-Friendly Price
0.011565902,0.020007253,0.016940485,0.020007253,0.005791506,0.021276596,0.01761658,0.01966759,0.007169604,0.006986738,0.01478574,0.007624711,0.011583012,0.006997635,0.046355503,0,0.046355503,0.104258282,0,0.205161964,0.016547421,0.135516671,0.051450964,0.121542658,0,0,Standard Price
